Kylian Mbappe	3.25€23	3.3€135	3.35€350	3.5€389	3.55€464	3.6€69
Junior Hoilett		1.01€1156	1000€81			
Saleh Al-Shehri		1.01€1156	1000€58			
Famara Diedhiou			1.01€1165			
Arkadiusz Milik		1.01€1156	1000€59			
James Maddison		1.01€1158	1000€58			
Vincent Janssen	1.01€1156	50€27	1000€65			
Junya Ito		2€10	1000€29			
Daizen Maeda		2€4	1000€18			
Davy Klaassen		400€19	1000€61			
Takuma Asano	2€5	400€13	1000€44			
